nome,estrelas
"codecrafters-io/build-your-own-x",538816
"sindresorhus/awesome",494620
"public-apis/public-apis",455507
"freeCodeCamp/freeCodeCamp",453824
"EbookFoundation/free-programming-books",394169
"openclaw/openclaw",385957
"nilbuild/developer-roadmap",364174
"donnemartin/system-design-primer",363211
"jwasham/coding-interview-university",358405
"vinta/awesome-python",313455
"awesome-selfhosted/awesome-selfhosted",312056
"practical-tutorials/project-based-learning",278426
"996icu/996.ICU",276618
"obra/superpowers",270743
"react/react",247166
"torvalds/linux",242520
"affaan-m/ECC",239478
"trimstray/the-book-of-secret-knowledge",237858
"NousResearch/hermes-agent",229020
"TheAlgorithms/Python",223662
"mattpocock/skills",213795
"vuejs/vue",210226
"ossu/computer-science",207891
"multica-ai/andrej-karpathy-skills",201598
"n8n-io/n8n",200263
"tensorflow/tensorflow",196955
"trekhleb/javascript-algorithms",196435
"anomalyco/opencode",196215
"ultraworkers/claw-code",195045
"DigitalPlatDev/FreeDomain",192262
"ohmyzsh/ohmyzsh",189114
"microsoft/vscode",188604
"massgravel/Microsoft-Activation-Scripts",186728
"Significant-Gravitas/AutoGPT",186529
"jackfrued/Python-100-Days",185105
"CyC2018/CS-Notes",185026
"getify/You-Dont-Know-JS",184645
"yt-dlp/yt-dlp",183918
"avelino/awesome-go",180807
"flutter/flutter",178329
"ollama/ollama",178293
"github/gitignore",175246
"twbs/bootstrap",174571
"microsoft/markitdown",173168
"521xueweihan/HelloGitHub",170374
"anthropics/skills",168115
"f/prompts.chat",167009
"firecrawl/firecrawl",165863
"AUTOMATIC1111/stable-diffusion-webui",164481
"huggingface/transformers",163793
"jlevy/the-art-of-command-line",162078
"Snailclimb/JavaGuide",157703
"langflow-ai/langflow",153066
"langgenius/dify",152120
"open-webui/open-webui",148508
"airbnb/javascript",148130
"Genymobile/scrcpy",147450
"langchain-ai/langchain",144001
"msitarzewski/agency-agents",143153
"x1xhlol/system-prompts-and-models-of-ai-tools",142740
"yangshun/tech-interview-handbook",141781
"vercel/next.js",141727
"anthropics/claude-code",141090
"ytdl-org/youtube-dl",140932
"microsoft/PowerToys",137670
"clash-verge-rev/clash-verge-rev",137187
"golang/go",135717
"iptv-org/iptv",135669
"labuladong/fucking-algorithm",135304
"Shubhamsaboo/awesome-llm-apps",132152
"ripienaar/free-for-dev",131508
"krahets/hello-algo",129360
"excalidraw/excalidraw",129353
"Chalarangelo/30-seconds-of-code",128681
"garrytan/gstack",127585
"Comfy-Org/ComfyUI",126813
"farion1231/cc-switch",126466
"react/react-native",126325
"github/spec-kit",126262
"kubernetes/kubernetes",124440
"ggml-org/llama.cpp",123493
"electron/electron",122451
"shadcn-ui/ui",121092
"rustdesk/rustdesk",120111
"nodejs/node",118874
"justjavac/free-programming-books-zh_CN",118286
"Hack-with-Github/Awesome-Hacking",118018
"microsoft/generative-ai-for-beginners",117517
"nextlevelbuilder/ui-ux-pro-max-skill",115692
"godotengine/godot",115557
"rust-lang/rust",115440
"mrdoob/three.js",114442
"2dust/v2rayN",113597
"d3/d3",113436
"jaywcjlove/awesome-mac",110451
"immich-app/immich",110229
"microsoft/TypeScript",110139
"tauri-apps/tauri",110124
"axios/axios",109221
"browser-use/browser-use",108820
